bid_no,ra_no,items,quantity,department,start_date,end_date,detail_link
GEM/2025/B/6957245,GEM/2026/R/669894,INTEGRATED SECURITY SURVEILLAN...,1,Ministry of Defence | Department of Military Affairs,20-05-2026 6:00 PM,23-05-2026 4:27 PM,https://bidplus.gem.gov.in/showbidDocument/8663954
GEM/2026/B/7469858,GEM/2026/R/670915,Monthly Basis Cab & Taxi Hirin...,11,Woman Welfare Department Uttar Pradesh,22-05-2026 3:00 PM,23-05-2026 4:27 PM,https://bidplus.gem.gov.in/showbidDocument/9251348
GEM/2026/B/7436482,GEM/2026/R/670786,"2-Propanol 45 gm, 1-Propanol 3...",8528,Ministry of Defence | Department of Military Affairs,22-05-2026 1:00 PM,23-05-2026 4:27 PM,https://bidplus.gem.gov.in/showbidDocument/9214069
GEM/2026/B/7461744,GEM/2026/R/670107,Custom Bid for Services - Cove...,1,Ministry of Mines | Materials,21-05-2026 11:00 AM,23-05-2026 4:29 PM,https://bidplus.gem.gov.in/showbidDocument/9242459
GEM/2026/B/7425244,GEM/2026/R/670954,Custom Bid for Services - ANNU...,1,Ministry of Defence | Department of Military Affairs,22-05-2026 4:00 PM,23-05-2026 4:29 PM,https://bidplus.gem.gov.in/showbidDocument/9201671
GEM/2026/B/7469741,GEM/2026/R/670960,"MANCOOLER PEDESTAL FAN, SWEEP:...",10,Ministry of Defence | Department of Defence Production,22-05-2026 4:00 PM,23-05-2026 4:31 PM,https://bidplus.gem.gov.in/showbidDocument/9251224
GEM/2026/B/7391200,GEM/2026/R/670737,Custom Bid for Services - FABR...,1,Ministry of Defence | Department of Military Affairs,22-05-2026 12:00 PM,23-05-2026 4:32 PM,https://bidplus.gem.gov.in/showbidDocument/9162670
GEM/2026/B/7353180,GEM/2026/R/670975,Stitching and Tailoring Servic...,4600,Ministry of Defence | Department of Defence,22-05-2026 4:00 PM,23-05-2026 4:32 PM,https://bidplus.gem.gov.in/showbidDocument/9117700
GEM/2026/B/7337309,GEM/2026/R/670667,Boots Ankle Leather Printed Gr...,3870,Ministry of Defence | Department of Military Affairs,22-05-2026 11:00 AM,23-05-2026 4:32 PM,https://bidplus.gem.gov.in/showbidDocument/9099241
GEM/2026/B/7446846,GEM/2026/R/670931,Custom Bid for Services - Hiri...,1,Ministry of Defence | Department of Military Affairs,22-05-2026 4:00 PM,23-05-2026 4:32 PM,https://bidplus.gem.gov.in/showbidDocument/9225824
GEM/2026/B/7290678,GEM/2026/R/670057,"Supply, Installation, Config, ...",1,Ministry of Defence | Department of Defence Production,21-05-2026 11:00 AM,23-05-2026 4:33 PM,https://bidplus.gem.gov.in/showbidDocument/9044652
GEM/2026/B/7435271,GEM/2026/R/670950,Shredding Machine/Paper Shredd...,1,Ministry of Labour and Employment | Employees State Insuarnce Corporation,22-05-2026 4:00 PM,23-05-2026 4:34 PM,https://bidplus.gem.gov.in/showbidDocument/9212696
GEM/2026/B/7086556,GEM/2026/R/670633,Custom Bid for Services - Tech...,1,Ministry of Defence | Department of Defence Research & Development,22-05-2026 11:00 AM,23-05-2026 4:34 PM,https://bidplus.gem.gov.in/showbidDocument/8811625
GEM/2026/B/7201629,GEM/2026/R/670736,Light Weight Web Equipment,200,Home Department Gujarat,22-05-2026 12:00 PM,23-05-2026 4:34 PM,https://bidplus.gem.gov.in/showbidDocument/8943260
GEM/2026/B/7251476,GEM/2026/R/670358,Stationary Valve Regulated Lea...,24,Ministry of Electronics and Information Technology | Department of Electronics and Information Technology,21-05-2026 4:00 PM,23-05-2026 4:34 PM,https://bidplus.gem.gov.in/showbidDocument/9000026
GEM/2026/B/7299312,GEM/2026/R/670894,WINDOW AIR CONDITIONER CAPACIT...,68,Ministry of Defence | Department of Defence Production,22-05-2026 3:00 PM,23-05-2026 4:34 PM,https://bidplus.gem.gov.in/showbidDocument/9054505
GEM/2026/B/7522354,GEM/2026/R/670855,"Air Freshener liquid (V3),Toil...",2150,Ministry of Defence | Department of Military Affairs,22-05-2026 2:00 PM,23-05-2026 4:35 PM,https://bidplus.gem.gov.in/showbidDocument/9309714
GEM/2025/B/6938515,GEM/2026/R/670378,"Vertebroplasty Complete Set,Pe...",3236,Ministry of Labour and Employment | Employees State Insuarnce Corporation,21-05-2026 4:00 PM,23-05-2026 4:35 PM,https://bidplus.gem.gov.in/showbidDocument/8642500
GEM/2026/B/7415096,GEM/2026/R/670937,Kits for estimation of Creatin...,122961,Ministry of Defence | Department of Military Affairs,22-05-2026 4:00 PM,23-05-2026 4:35 PM,https://bidplus.gem.gov.in/showbidDocument/9190241
GEM/2026/B/7103128,GEM/2026/R/670292,Custom Bid for Services - layi...,1,Ministry of Defence | Department of Defence Production,21-05-2026 3:00 PM,23-05-2026 4:35 PM,https://bidplus.gem.gov.in/showbidDocument/8830586
